"segment","mean_speed","mean_step","mean_turning","median_speed","median_turning","n","behavior"
1134,12.0828975118952,724.973850713713,3.13060548386123,12.0828975118952,3.13060548386123,1,"traveling"
1135,2.29305453008482,275.807084839159,1.63987361227006,1.2019358192126,1.83302715367229,19,"unknown"
1136,4.42065744201776,374.777137552208,1.90396508043579,4.46808715735844,1.9120343545504,22,"unknown"
1137,12.8938744788023,773.63246872814,3.02359139645038,12.8938744788023,3.02359139645038,1,"traveling"
1138,1.35726549112322,325.743717869572,3.01914542407661,1.35726549112322,3.01914542407661,1,"unknown"
1139,12.8460425259429,770.762551556576,3.02059600608727,12.8460425259429,3.02059600608727,1,"traveling"
1140,2.32944643409864,270.601212377882,1.48054043809423,1.10452491164123,1.39841476058281,17,"unknown"
1141,5.94950949370257,476.748679807708,2.88838087463054,9.06223092378105,2.84188914485426,39,"unknown"
1142,0.320841366895022,80.0351858844835,0.793190919963033,0,0,39,"resting"
1143,8.20543482885663,726.105924923886,2.69195007480146,12.0313084376539,3.13446359917104,7,"unknown"
1144,0.751956777353371,180.469626564809,1.56714330316855,0,1.56349027954221,4,"unknown"
1145,5.87003450630066,589.34587866412,1.30538385000621,5.18004375169461,0.913995380861184,24,"unknown"
1146,7.60575869724113,605.991230216756,2.73300224437852,9.82601426871747,2.73417715844153,27,"unknown"
1147,5.36800406420543,583.956962086824,1.08917652246928,5.18004375169461,0,26,"resting"
1148,0.517608270351934,129.124563828219,1.12029356295094,0.00243640214327468,0.975646475468483,24,"unknown"
1149,11.5779140764303,694.674844585816,1.90548954231862,10.748970633744,2.64788851822827,14,"traveling"
1150,9.21163783437548,552.698270062529,1.53871091457663,9.82051309544203,1.98997699092053,21,"traveling"
1151,5.99317704482639,482.870984778131,2.59254186977064,5.85494622708996,2.45017037382745,22,"unknown"
1152,16.1052557508283,966.315345049697,2.9923882313759,16.1052557508283,2.9923882313759,1,"traveling"
1153,6.59984880283549,395.99092817013,1.73551515517384,6.32917557057552,2.1644910482394,33,"unknown"
1154,4.49726449760198,445.815784979675,3.14159265358979,1.85756577074865,3.14159265358979,19,"unknown"
1155,7.71842443963966,500.256781793353,2.84958190263138,7.43026308299458,2.70412514618138,9,"unknown"
1156,12.3228254424336,739.369526546014,2.71068829866463,12.3228254424336,2.81848056367528,4,"traveling"
1157,6.95963303897226,417.577982338336,2.00061346202992,6.89948344212179,2.2168834400738,32,"unknown"
1158,1.81952852823788,191.524674772024,0.744140784006048,1.60258109228347,0.506711683706032,44,"unknown"
1159,5.57502901353529,475.982357069203,1.66130613473736,5.666995096916,2.17725002551453,68,"unknown"
1160,3.64151044517364,588.999712049497,0.40639664997948,3.45336250112974,0,19,"resting"
1161,7.41739265516785,659.543587494641,2.29475391697991,7.41739265516785,2.38548302996819,6,"unknown"
1162,0.929056576048357,227.134568129942,0.663797274924395,0.961282437452126,0,31,"resting"
1163,4.94483950307586,435.147891019228,2.69407588782809,4.97429334818234,2.8172324496487,20,"unknown"
1164,0.989766176014237,237.543882243417,0.793773620644383,0.601643131684983,0.695721049041119,4,"unknown"
1165,5.52776212143749,549.287658728007,2.45229333474623,3.60095346648968,2.59704198903635,49,"unknown"
1166,12.0006484482351,720.038906894105,2.89367007773548,12.0006484482351,2.89367007773548,1,"traveling"
1167,3.99661685176702,499.305880300287,1.68109680505616,3.30553289713077,2.56090024563414,39,"unknown"
1168,1.29632153405028,231.842574313365,0.949495624594486,1.06723190038297,0.634316943406156,57,"unknown"
1169,3.10183907834149,407.105186399957,0.934312280450457,2.12541249850237,1.21135935678474,77,"unknown"
1170,6.91200301864506,485.758200521177,2.26118496125018,11.702434049727,2.25658786245302,9,"unknown"
1171,2.19355606889472,368.335315660477,1.70693900363404,2.11508137305873,2.20061936781984,48,"unknown"
1172,3.72541233848743,536.135779931755,2.07089133676826,3.16352753111304,1.91741530126534,90,"unknown"
1173,0.866487481580378,245.512159287969,1.10760997413313,0.71877130760953,0.872814947784126,70,"unknown"
1174,3.8735663082444,232.413978494664,0.165090944507802,3.99000395856091,0,17,"resting"
1175,0.892878521300288,159.361424944598,0.673097029560531,0.80389566668422,0,133,"resting"
1176,2.66942365916148,375.467134769234,1.35695658485409,2.2628868229121,1.7807813182035,152,"unknown"
1177,0.446804782060586,118.617324339626,1.24989191109729,0.0319365392899927,0.608864346910687,12,"unknown"
1178,5.17838103779739,386.995128072469,2.49645979460684,3.05951500410442,2.58535020917482,44,"unknown"
1179,8.96528868534829,669.357072515075,2.48887254077418,10.0931941750002,2.83592207767605,54,"traveling"
1180,2.74381807384986,387.154500650235,1.57710207181705,1.44740829470627,1.91460885005171,3,"unknown"
1181,8.60953624519737,651.794176984497,2.52895444480984,11.9113344465591,2.78658474253314,30,"traveling"
1182,11.9113344465591,714.680066793549,0.356458485167414,11.9113344465591,0,7,"feeding"
1183,6.69820202217051,495.045577778108,2.35360603135124,5.60368698620163,2.10434725753657,26,"unknown"
1184,11.571490884567,694.28945307402,1.05217362876828,11.571490884567,1.05217362876828,2,"traveling"
1185,1.59583553429137,201.840793131519,1.04486609380445,1.48637115935519,0.681776732441595,194,"unknown"
1186,4.70968611564534,282.58116693872,2.66046506681897,4.70968611564534,2.7456035913819,28,"unknown"
1187,2.01765714176063,125.199395008383,0.903639574373212,1.26608791727899,0.882561341149469,65,"unknown"
1188,3.37687801560044,265.350192821925,1.62098436178856,3.47008701783754,1.54618011742577,38,"unknown"
1189,1.32996516022136,188.608432884374,2.76128182997484,1.46462841181992,3.14159265358979,52,"unknown"
1190,5.27878535204783,379.079001172925,2.61913591682408,7.57925245094263,2.70742928196817,9,"unknown"
1191,2.30424215041683,151.14216190942,2.4793494099252,3.24724254228426,2.48917323802663,16,"unknown"
1192,7.64542202945483,458.72532176729,0.288506207716824,7.64542202945483,0.288506207716824,2,"unknown"
1193,0.689768423707829,81.6977225896532,1.03482400011424,0.341607729539061,0.419088197669563,32,"unknown"
1194,5.83349043233864,365.148676875022,0.310131089093593,6.52499162762996,0.0075475132334657,13,"resting"
1195,1.34074858243999,203.405081445196,1.04943780184336,1.21662433063066,0.736632919720784,107,"unknown"
1196,2.79372578910016,444.611553809438,2.47622815615169,3.10751638251726,2.80301897782029,81,"unknown"
1197,1.87963354238341,351.081457756673,0.340154106107858,2.16555137378045,0,107,"resting"
1198,3.40992863877656,304.583079038904,2.33841637293,2.45644395048349,2.62913515563136,156,"unknown"
1199,1.80770438269371,240.334769522127,1.08830579161412,1.77860829880676,1.18404815218836,90,"unknown"
1200,3.15498887484982,383.847068239037,2.71035343134405,4.65691282593105,3.03678854871154,74,"unknown"
1201,1.16080133449354,263.592864848306,1.63214681501535,1.2756460946311,2.2972027964886,333,"unknown"
1202,4.72947491731946,531.507823771105,2.26205501337149,2.94547478977083,2.43768528482257,22,"unknown"
1203,7.82608542446933,704.012332810252,3.13755187483651,11.420540514316,3.14159265358979,9,"unknown"
1204,3.39021320552696,469.769223423048,1.8403466108964,3.13284616564976,2.21322668346775,20,"unknown"
1205,8.32953015976621,712.694167550307,3.1378003671637,11.5829386922525,3.14159265358979,5,"traveling"
1206,3.42991352445007,369.440407273716,1.31436160319781,3.12061745423416,1.3643189090567,18,"unknown"
1207,9.53135045573416,762.508036458733,3.14159265358979,12.7084672743122,3.14159265358979,3,"traveling"
1208,2.08515243991112,358.772767964476,0.862516962106515,1.55741160836989,1.11964092429076,28,"unknown"
1209,13.729328697804,823.759721868238,3.09461301488676,13.729328697804,3.09461301488676,1,"traveling"
1210,3.43233217445099,823.759721868238,3.14159265358979,3.43233217445099,3.14159265358979,1,"unknown"
1211,13.729328697804,823.759721868238,3.14159265358979,13.729328697804,3.14159265358979,1,"traveling"
1212,2.62783149377943,555.3755491873,0.752511893147557,3.19045239297136,0.521762462647539,8,"unknown"
1213,13.5487497563678,812.92498538207,3.14159265358979,13.5487497563678,3.14159265358979,1,"traveling"
1214,1.97587414875523,457.27119283451,0.84099255272031,3.38718743909196,0.553417540111624,9,"unknown"
1215,8.92985779396971,812.92498538207,3.14159265358979,13.5487497563678,3.14159265358979,11,"traveling"
1216,4.10348343026861,652.671498507151,2.84319185978923,3.38718743909196,2.69399146288896,3,"unknown"
1217,0.267244445382842,162.669708423998,1.03698529804355,0,0.597136392878968,13,"unknown"
1218,7.97619634785735,683.510814355943,3.05014604666015,11.3764145843376,3.14061269176029,5,"unknown"
1219,1.5182421032382,250.692414920553,1.21876054226176,0,1.17764883703574,5,"unknown"
1220,11.8454116381519,710.724698289113,2.63745724641297,11.8454116381519,2.63745724641297,1,"traveling"
1221,1.48067645476899,355.362349144557,1.82286403038331,1.48067645476899,1.82286403038331,2,"unknown"
1222,12.2460775738202,734.764654429211,2.65040395071662,12.2460775738202,2.65040395071662,1,"traveling"
1223,1.25177876447594,250.454853230839,2.4100430396714,0.291900222964006,2.88125522044826,6,"unknown"
1224,12.7375337428238,764.252024569431,3.08116950877389,12.7375337428238,3.08116950877389,1,"traveling"
1225,2.43844248243942,526.240512641986,2.36105736991187,2.89593114598002,2.76228213567074,6,"unknown"
1226,8.98468654673306,770.115989719977,3.13961084110919,12.8352664953329,3.14159265358979,5,"traveling"
1227,0.54109372761301,64.9312473135612,0.872675513422333,0.54109372761301,0.872675513422333,1,"unknown"
1228,12.6697156003244,760.182936019463,0.89843189804465,12.6697156003244,0.89843189804465,1,"traveling"
1229,1.91078983795097,391.736684734818,0.788908395551264,1.59315046345479,0.232036016640844,4,"unknown"
